CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350263.02,5350263.02,27.7,90000.0
5350263.03,5350263.03,29.1,80000.0
5350263.04,5350263.04,29.1,76000.0
5350264.00,5350264.00,33.3,226000.0
5350265.00,5350265.00,22.8,204000.0
5350266.00,5350266.00,28.8,248000.0
5350267.00,5350267.00,28.3,157000.0
5350268.00,5350268.00,26.5,96000.0
5350269.01,5350269.01,52.3,72500.0
5350269.02,5350269.02,25.9,139000.0
5350270.01,5350270.01,11.4,85000.0
5350270.02,5350270.02,11.9,92000.0
5350271.01,5350271.01,16.5,109000.0
5350271.02,5350271.02,11.2,84000.0
5350272.01,5350272.01,21.7,71500.0
5350272.02,5350272.02,26.7,90000.0
5350273.01,5350273.01,22.7,151000.0
5350273.02,5350273.02,30.0,130000.0
5350274.01,5350274.01,23.9,103000.0
5350274.02,5350274.02,31.2,107000.0
5350275.00,5350275.00,18.6,139000.0
5350276.01,5350276.01,24.5,105000.0
5350276.02,5350276.02,19.3,164000.0
5350277.00,5350277.00,15.0,170000.0
5350278.00,5350278.00,25.8,93000.0
5350279.01,5350279.01,24.0,91000.0
5350279.02,5350279.02,23.7,74500.0
5350280.00,5350280.00,20.3,70000.0
5350281.01,5350281.01,19.9,74000.0
5350281.02,5350281.02,32.4,79000.0
5350282.00,5350282.00,20.7,104000.0
5350283.01,5350283.01,15.1,69000.0
5350283.02,5350283.02,13.1,58400.0
5350284.00,5350284.00,20.2,81000.0
5350285.00,5350285.00,15.4,86000.0
5350286.00,5350286.00,23.6,78000.0
5350287.02,5350287.02,24.8,80000.0
5350287.03,5350287.03,28.0,54800.0
5350287.04,5350287.04,30.5,72000.0
5350288.00,5350288.00,27.3,83000.0
5350289.00,5350289.00,18.7,86000.0
5350290.01,5350290.01,18.8,68000.0
5350290.02,5350290.02,42.9,78000.0
5350291.02,5350291.02,15.1,68000.0
5350291.03,5350291.03,27.6,74500.0
5350291.04,5350291.04,24.5,70500.0
5350292.00,5350292.00,25.0,79000.0
5350293.00,5350293.00,23.2,99000.0
5350294.01,5350294.01,14.9,76500.0
5350294.02,5350294.02,22.2,91000.0
5350295.00,5350295.00,14.0,80000.0
5350296.00,5350296.00,36.4,105000.0
5350297.01,5350297.01,26.4,85000.0
5350297.02,5350297.02,25.9,97000.0
5350298.00,5350298.00,17.6,121000.0
5350299.01,5350299.01,25.5,119000.0
5350299.02,5350299.02,38.9,78500.0
5350300.01,5350300.01,50.9,69500.0
5350300.02,5350300.02,39.1,88000.0
5350300.03,5350300.03,23.6,102000.0
5350301.01,5350301.01,22.6,104000.0
5350301.03,5350301.03,51.8,77000.0
5350301.04,5350301.04,37.1,76500.0
5350302.01,5350302.01,24.0,93000.0
5350302.02,5350302.02,24.0,87000.0
5350302.03,5350302.03,26.3,86000.0
